Title,Link,Year,Abstract
emotion guru smart emotion tracking application ai conversational agent exploring preventing depression,https://ieeexplore.ieee.org/abstract/document/9674993/,2021,study proposed solution promoting emotional intelligence solution emotion tracking application includes ai conversational agent talk user
medbot conversational artificial intelligence powered chatbot delivering telehealth covid,https://ieeexplore.ieee.org/abstract/document/9137944/,2020,vital element considered dealing designing cui conversational agent like look feel chatbot notification engage user
evidence humanlevel bond established digital conversational agent crosssectional retrospective observational study,https://formative.jmir.org/2021/5/e27868,2021,cbt–based conversational agent would report therapeutic digital intervention use conversational agent based fully automated conversational agent woebot
systematic review conversational interface agent export business acceleration,https://lgurjcsit.lgu.edu.pk/lgurjcsit/article/view/430,2023,evolution conversational agent conversational agent type based export business acceleration interface paper also identifies challenge conversational
domainspecific generative chatbot trained little data,https://www.mdpi.com/2076-3417/10/7/2221,2020,research presented first generative chatbot result obtained small domainspecific datasets english morphologically complex lithuanian language
graphbased conversational ai towards distributed collaborative multichatbot approach museum,https://www.mdpi.com/2076-3417/11/19/9160,2021,developer designed friendly smart delightful conversational chatbot able concept “ agent ’ meant exploratory conversational
conversational artificial intelligence psychotherapy new therapeutic tool agent,https://www.tandfonline.com/doi/abs/10.1080/15265161.2022.2048739,2023,conversational artificial intelligence cai present many opportunity psychotherapeutic landscape—such therapeutic support people mental health problem
friendly face crowd reducing public speaking anxiety emotional support agent audience,https://dl.acm.org/doi/abs/10.1145/3472306.3478364,2021,present friendly face virtual agent designed reduce public speaking anxiety agent sens speaker behavior oral presentation provides emotional
towards designing conversational agent system,https://link.springer.com/chapter/10.1007/978-981-32-9515-5_51,2020,used language processing designing conversational agent design conversational agent high complexity kerly et al conversational agent
swiftsage generative agent fast slow thinking complex interactive task,https://proceedings.neurips.cc/paper_files/paper/2023/hash/4b0eea69deea512c9e2c469187643dc2-Abstract-Conference.html,2024,inspired aim construct generative agent utilizes small seqseq lm system associative reasoning via behavior cloning developing system
hybrid response generation model empathetic conversational agent,https://ieeexplore.ieee.org/abstract/document/9961311/,2022,generative model addressed paper present vhope virtual hope conversational agent act mental health chatbot flow generative model
overview conversational agent application challenge future direction,https://opus.lib.uts.edu.au/bitstream/10453/153384/2/107086.pdf,2021,conversational agent chatbot smart program simulates human language conversational agent application history conversational agent development
sara lecturer improving learning online education scaffoldingbased conversational agent,https://dl.acm.org/doi/abs/10.1145/3313831.3376781,2020,conversational agent may alleviate problem developed sara conversational agent appears compared traditional conversational agent significantly
paperqa retrievalaugmented generative agent scientific research,https://arxiv.org/abs/2312.07559,2023,rag agent answering question scientific literature paperqa agent viewing agent questionanswering model find exceeds performance
examining association emotional intelligence chatbot utilization education crosssectional examination undergraduate student uae,https://www.cell.com/heliyon/fulltext/S2405-8440(24)07983-0,2024,background emotional intelligence ei demonstrably affect academic success literature lack exploration implementing chatbot education might influence
understanding predicting user dissatisfaction neural generative chatbot,https://aclanthology.org/2021.sigdial-1.1/,2021,studying neural generative model deployed chirpy cardinal alexa prize chatbot seek provide first indepth use chatbot ’ reallife conversation source
chat generative pretrained transformer embrace technology,https://www.sciencedirect.com/science/article/pii/S0002937823001552,2023,chat generative pretrained transformer artificial intelligence resource clinical opinion demonstrates potential us chat generative pretrained transformer
empathydriven arabic conversational chatbot,https://aclanthology.org/2020.wanlp-1.6/,2020,address challenge create arabic conversational dataset comprises develop empathetic chatbot arabic language example desired chatbot
query generation buffer mechanism towards better conversational agent legal case retrieval,https://www.sciencedirect.com/science/article/pii/S030645732200156X,2022,directly applying conversational agent workflow web propose suitable conversational agent workflow legal actually support conversational agent working
enhancing digital literacy intelligent conversational agent senior citizen thailand,https://link.springer.com/article/10.1007/s10639-021-10862-z,2022,main objective research enhance digital literacy skill intelligent conversational agent “ senior see net ” chatbot senior citizen thailand
culturalerica conversational agent improving exploration european cultural heritage,https://www.sciencedirect.com/science/article/pii/S1296207418308136,2020,consider synergy conversational agent conversational agent intelligent conversational agent base agent digital cultural library europeana
humorous conversational agent enhance learning experience outcome,https://dl.acm.org/doi/abs/10.1145/3411764.3445068,2021,work examine efects conversational agent ’ agent attitude towards task using betweensubjects protocol participant taught conversational agent
converse analytical chatbot revisiting gricean maxim designing analytical conversational behavior,https://dl.acm.org/doi/abs/10.1145/3491102.3501972,2022,draw inspiration established set best practice identifying implementing cooperative chatbot behavior identify following conversational
mitigating boredom using empathetic conversational agent,https://dl.acm.org/doi/abs/10.1145/3383652.3423905,2020,wish imitate interaction intelligent agent inside vehicle conversational agent bestfitted opposed chatbots avatarbased agent
building culturallyvalid dynamic facial expression conversational virtual agent using human perception,https://dl.acm.org/doi/abs/10.1145/3383652.3423913,2020,onto conversational virtual agent first time equipped conversational virtual agent culturally psychologically valid conversational facial expression
acoustically emotionaware conversational agent speech emotion recognition empathetic response,https://ieeexplore.ieee.org/abstract/document/9888003/,2022,work studied user ’ interaction conversational agent emotionrelated content ethical issue carefully addressed prior work outlined
deep learning based text emotion recognition chatbot application,https://ieeexplore.ieee.org/abstract/document/9142879/,2020,emotion person speech face gesture body language sign action since human use many text device make interaction day emotion emotional
exploring young childrens engagement joint reading conversational agent,https://dl.acm.org/doi/abs/10.1145/3392063.3394417,2020,conversational agent ca potentially act joint incorporates component effective conversational guidance ie human conversational partner treat childagent
using ai predict service agent stress emotion pattern service interaction,https://www.emerald.com/insight/content/doi/10.1108/JOSM-06-2019-0163/full/html,2021,purpose paper introduce describe deep learning model predict realtime service agent stress emotion pattern voicetovoice service interaction
intent mining past conversation conversational agent,https://arxiv.org/abs/2005.11014,2020,conversational system primary interest ai community organization increasingly using chatbot mine vast amount conversational log generate labeled
evaluating humanai hybrid conversational system chatbot message suggestion,https://dl.acm.org/doi/abs/10.1145/3459637.3482340,2021,study humanchatbot hybrid system design offer user chatbot chatbot suggestion facilitate human agent providing information specifically evaluate chatbot
conversational agentbased guidance examining effect chatbot usage frequency satisfaction visual design selfefficacy engagement satisfaction …,https://link.springer.com/article/10.1007/s10639-022-11149-7,2023,chatbot used tool intervention guide learner via chatbot called conversational agent effect use conversational agentbased system reflected
textbased emotion recognition english polish therapeutic chatbot,https://www.mdpi.com/2076-3417/11/21/10146,2021,since aim create sentiment emotion classifier chatbot working polish faced problem lack relevant dialogue datasets polish language cheap
use artificial intelligence conversational agent chatbot hip arthroscopy patient following surgery,https://www.sciencedirect.com/science/article/pii/S2666061X23000238,2023,result study demonstrate use chatbot conversational agent enhance postoperative experience hip arthroscopy patient demonstrated high
understanding impact control level emotionaware chatbots,https://www.sciencedirect.com/science/article/pii/S0747563221004453,2022,chat emotionaware chatbot provided feedback team member ’ emotion emotionaware chatbot instantiated several control feature form
voice assistant v chatbot–examining fit conversational agent interaction modality information search task,https://link.springer.com/article/10.1007/s10796-021-10226-5,2022,speech textbased conversational interaction different information search task type thereby study extends cognitive fit theory conversational information request
tell using aipowered chatbot conduct conversational survey openended question,https://dl.acm.org/doi/abs/10.1145/3381804,2020,hypothesize juji chatbot ’ conversational capability would encourage participant engagement improve quality response along several aspect first
benefit different communication pattern comparing childrens reading conversational agent v human partner,https://www.sciencedirect.com/science/article/pii/S0360131520302578,2021,conversational agent support childrens language development study examined automated conversational agent conversational agent versus adult
conversational agent improve response quality course evaluation,https://dl.acm.org/doi/abs/10.1145/3334480.3382805,2020,humancomputer interaction conversational interface design nlpbased conversational agent deploy finding indicate using conversational agent
chatbot usability scale design pilot usability scale interaction aibased conversational agent,https://link.springer.com/article/10.1007/s00779-021-01582-9,2022,chatbot saying vital conversational point view ‘ chatbot designer suggested crucial conversational agent set
caro empathetic health conversational chatbot people major depression,https://dl.acm.org/doi/abs/10.1145/3371158.3371220,2020,conversational application chatbots propose caro chatbot app capable performing caro able sense conversational context
maria visual experience powered conversational agent,https://arxiv.org/abs/2105.13073,2021,specifically present maria neural conversation agent thus empowering conversational agent visual specifically present maria neural conversational agent
secbot businessdriven conversational agent cybersecurity planning management,https://ieeexplore.ieee.org/abstract/document/9269037/,2020,present generic chatbot model answer customer data provide personal assistant ’ emotional connection relevant proposed conversational agent address
conversational agent creating flexible daily automation,https://dl.acm.org/doi/abs/10.1145/3531073.3531090,2022,paper present rulebot conversational agent us machine learning natural language processing technique allow end user create automation according
funny chatbot make difference infusing humor conversational agent behavioral intervention,https://dl.acm.org/doi/abs/10.1145/3640794.3665555,2024,impact generative humorous communication style day chatbotdelivered intervention finding clarify role humorous communication style chatbotdelivered
conversational agent intervention mental health problem systematic review metaanalysis randomized controlled trial,https://www.jmir.org/2023/1/e43862/,2023,conversational agent intervention ‎ figure forest plot shortterm effect conversational agent forest plot shortterm effect conversational agent intervention
wireless multiagent generative ai connected intelligence collective intelligence,https://arxiv.org/abs/2307.02757,2023,ai system network level agent level identify agent generative ai network highlight benefit achieved implementing wireless generative
empathy need conversational agent respond verbal abuse,https://dl.acm.org/doi/abs/10.1145/3313831.3376461,2020,style conversational agent conversational agent need studied spoken voicebased environment paper seek answer conversational agent
designing pairbuddy—a conversational agent pair programming,https://dl.acm.org/doi/abs/10.1145/3498326,2022,conversational agent exist computer programming task anthropomorphic interaction conversational agent ” —an anthropomorphic conversational agent interactive
dialogue conversational agent promotes childrens story comprehension via enhancing engagement,https://srcd.onlinelibrary.wiley.com/doi/abs/10.1111/cdev.13708,2022,development artificial intelligence conversational agent engage child element dialogic reading study examined whether conversational agent
modeling bilingual conversational characteristic neural chat translation,https://arxiv.org/abs/2107.11164,2021,model bilingual conversational characteristic tailored latent variable neural chat future would like explore effect multimodality emotion chat trans
empathetic conversational agent attentional mechanism,https://ieeexplore.ieee.org/abstract/document/9402337/,2021,study presented two conversational agent model indulge friendly positive interaction user generate empathetic response
chatbot v human impact responsive conversational feature user response chat advisor,https://search.informit.org/doi/abs/10.3316/informit.T2024122600000401566616083,2024,eg user perceives conversational agent better expected agent received burgoon hale telling user chat chatbot
think twice humanlike twostage conversational agent emotional response generation,https://arxiv.org/abs/2301.04907,2023,semantics requires rare largescale emotionannotated conversational agent generation emotional dialogue firstly dialogue model trained without emotion
conversational agent healthy lifestyle behavior change webbased feasibility study,https://formative.jmir.org/2021/12/e27956/,2021,using conversational agent promoting healthy lifestyle facebook messenger conversational agent used usability conversational agent addition
controlling risk conversational search via reinforcement learning,https://dl.acm.org/doi/abs/10.1145/3442381.3449893,2021,proposed conversational search agent build conversational search control balance risk propose riskaware conversational agent make decision
housegan generative adversarial layout refinement network towards intelligent computational agent professional architect,http://openaccess.thecvf.com/content/CVPR2021/html/Nauata_House-GAN_Generative_Adversarial_Layout_Refinement_Network_towards_Intelligent_Computational_Agent_CVPR_2021_paper.html,2021,paper proposes generative adversarial layout refinement network automated floorplan generation architecture integration graphconstrained relational gan
dissecting mixed effect humancustomer service chatbot interaction customer satisfaction explanation temporal conversational cue,https://www.sciencedirect.com/science/article/pii/S0969698923001649,2023,field temporal cue conversational cue conversational cue addition improve theoretical framework research related temporal conversational
ermes chatbot conversational communication tool improved emergency management disaster risk reduction,https://www.sciencedirect.com/science/article/pii/S2212420924005545,2024,ie ermes chatbot mobilebased conversational communication system developed methodology used create ermes chatbot grounded usercentred
conversational agent research toolkit alternative creating managing chatbots experimental research,https://www.aup-online.com/content/journals/10.5117/CCR2020.1.002.ARAU,2020,conversational agent randomly assign participant different condition agent regarding conversational agent say participant agent say
affect usage artificial conversational agent agent personality love theory perspective,https://www.sciencedirect.com/science/article/pii/S0747563223001395,2023,conversational cai agent growing popularity like human personality cai agent systematic approach generating cai agent personality descriptor unique
integrating conversational pedagogical agent instructional activity massive open online course,https://www.sciencedirect.com/science/article/pii/B978012823410500005X,2021,current conversational agent application mooc however conversational agent also used assist present integration conversational agent embedded
conversational marketing framework interaction customer development validation conversational agent usage scale,https://www.ceeol.com/search/article-detail?id=1026424,2021,research object work textbased conversational agent voicebased conversational agent eg siri general ai capable performing kind human
gptquants conversational ai simplifying investment research,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4380516,2023,paper present gptquant conversational ai chatbot developing evaluating chatbot compare performance open ai chatgpt highlight chatbots
emotioninfused deep neural network emotionally resonant conversation,https://www.sciencedirect.com/science/article/pii/S1568494621007833,2021,fine emotion difference word order better understand sentential emotion model greatly improve efficiency usability conversational chatbot system
review aidriven conversational chatbots implementation methodology challenge –,https://www.mdpi.com/2071-1050/15/5/4012,2023,conversational chatbot dialogue system computer program designed simulate field chatbot application one main benefit conversational chatbots
daisy friendly conversational agent older adult,https://dl.acm.org/doi/abs/10.1145/3405755.3406166,2020,present daisy voicecontrolled conversational agent embodied household potted paper describes daisy experience designing conversational agent older
chatbotsql conversational agent support relational database query language learning,https://www.sciencedirect.com/science/article/pii/S2352711023000420,2023,article introduces chatbotsql conversational agent aim support autonomous learning sql language database querying chatbotsql proposes exercise
conversational chatbot cigarette smoking cessation result step usercentered design development process randomized controlled trial,https://mhealth.jmir.org/2024/1/e57318,2024,finally mapped natural conversational flow chatbot range chatbot entity extraction intent classification conversational mapping
adaptable agent population via generative model policy,https://proceedings.neurips.cc/paper_files/paper/2021/hash/1fc8c3d03b0021478a8c9ebdcd457c67-Abstract.html,2021,end introduce generative model policy reinforcement learning agent policy space method enables learning entire population agent policy
using pedagogical agent deliver conversational style instruction benefit obtain,https://www.sciencedirect.com/science/article/pii/S0360131519302118,2020,agent interesting learning without pedagogical agent b learning lesson written conversational pedagogical agent delivering instruction conversational
chatbot promote student mental health emotion recognition,https://ieeexplore.ieee.org/abstract/document/9544838/,2021,develop chatbot student promote mental health emotion recognition technique therefore developing human friendly chatbot help student get right
impact different conversational generative ai chatbots efl learner analysis willingness communicate foreign language speaking anxiety self …,https://www.sciencedirect.com/science/article/pii/S0346251X24003154,2024,conversational genai chatbot called typebot eg engaged conversational genai chatbot like avatar named agent quantitative analysis using multilevel modelling
empathic chatbot emotional intelligence empathic chatbot emotional intelligence mental health wellbeing,https://arxiv.org/abs/2012.09130,2020,mental healthcare patient need understand emotional state user tailor emotional intelligence methodology adopted development empathic chatbot
designing developing evaluating implementing smartphonedelivered rulebased conversational agent discover development conceptual …,https://mhealth.jmir.org/2022/10/e38740,2022,background conversational agent ca also known chatbots computer program simulate human conversation using predetermined rulebased response artificial
evaluating therapeutic alliance freetext cbt conversational agent wysa mixedmethods study,https://www.frontiersin.org/articles/10.3389/fdgth.2022.847991/full,2022,conversational agent user perceive therapeutic alliance examine change therapeutic alliance time hypothesize conversational agent conversational agent
effect chatbot service recovery emotion word customer satisfaction repurchase intention positive wordofmouth,https://www.frontiersin.org/articles/10.3389/fpsyg.2022.922503/full,2022,without emotion word offer reliability assurance whereas chatbots emotion study provides experiential evidence effect emotional chatbot service
cheating age generative ai high school survey study cheating behavior release chatgpt,https://www.sciencedirect.com/science/article/pii/S2666920X24000560,2024,chatgpt emerging generative ai chatbot technology could used student way consider “ cheating ” know extent
chatbot disclose implication online conversational retailer,https://link.springer.com/chapter/10.1007/978-3-030-68288-0_1,2021,explicit disclosure chatbot identity social show interacting chatbot whose identity compared interacting chatbot whose identity
impact chat generative pretrained transformer chatgpt medical education,https://academic.oup.com/pmj/article-abstract/99/1176/1125/7225901,2023,artificial intelligence ai medicine developing rapidly advent chat generative pretrained transformer chatgpt taken world storm potential us
generative ai unlocking future fashion,https://digital-humanai.io/wp-content/uploads/2023/03/Generative-AI-Unlocking-the-future-of-fashion.pdf,2023,said ’ yet foolproof generativeai chatbot businesses—current generative ai “ representative ” brand handle customer service query across email chat text
comparing student generative artificial intelligence chatbot response organic chemistry writingtolearn assignment,https://pubs.acs.org/doi/abs/10.1021/acs.jchemed.3c00664,2023,primary goal study identify generative ai chatbots perform organic chemistry wtl assignment contextualize chatbot performance relative authentic
chatnt multimodal conversational agent dna rna protein task,https://www.biorxiv.org/content/10.1101/2024.04.30.591835.abstract,2024,set life science paper agent also capable answer conversational capability important aspect demonstrating conversational agent chatnt
chatgpt scary good user motivation affect creepiness trust generative artificial intelligence,https://www.sciencedirect.com/science/article/pii/S0736585323000941,2023,main purpose study identify underlying motif generative ai chatbot use creepiness trust well generative ai chatbot continuance intention
chat generative pretrained transformer chatgpt usage healthcare,https://www.sciencedirect.com/science/article/pii/S2949752323000353,2023,recent year rapid development deep learning artificial intelligence ai gradually become powerful assistant human various aspect maturity
multiparty chat conversational agent group setting human model,https://arxiv.org/abs/2304.13835,2023,building conversational agent tackle issue live multiparty conversational setting must build multiparty conversational agent us best
language use conversational agent–based health communication systematic review,https://www.jmir.org/2022/7/e37403/,2022,background given growing significance conversational agent ca researcher conducted plethora relevant study various technology usabilityoriented
kigras kinematicdriven generative model realistic agent simulation,https://ieeexplore.ieee.org/abstract/document/10803038/?casa_token=XqOGDrX0844AAAAA:B4n4cgaRAPaTYrOHUu6tOEO3xwphH1qvTVw-8BEYaj2-q-QY13nIE8Ur8tefZsxMA9nJcv-mhYm7BA,2024,trajectory generation pivotal task autonomous driving recent study introduced autoregressive paradigm leveraging state transition model approximate future
llm generative agentbased model complex system research,https://www.sciencedirect.com/science/article/pii/S1571064524001386,2024,advent large language model llm significantly transformed research across natural social science offering new paradigm understanding complex system
adaptive learning module conversational agent support mooc learner,https://ajet.org.au/index.php/AJET/article/view/6646,2021,conversational agent help support learner working moocs article present adaptive learning module javapal conversational agent
question answering model based conversational chatbot using bert model google dialogflow,https://ieeexplore.ieee.org/abstract/document/9652153/?casa_token=ldbDlBEf7xUAAAAA:6LXKgcA73xtvd-HeXL2yOywgJRFr8mLh_vPG5VQJJ9P0jLEgnUKCw6OPQXXsg0KmBONFpeYZhdqkkQ,2021,google dialogflow build conversational chatbot chatbot simulates human conversation based defined intent entity however conversational chatbots dont provide
voice care differently understanding effectiveness conversational agent alternative empathy orientation emotional expressivity mitigating …,https://www.tandfonline.com/doi/abs/10.1080/10447318.2021.1987680,2022,activated conversational agent better respond user ’ abusive utterance examining alternative form ca varying empathy orientation emotional expressivity
gecoagent conversational agent empowering genomic data extraction analysis,https://dl.acm.org/doi/abs/10.1145/3464383,2021,next section describe previous work conversational technology specifically section propose requirement conversational agent defining
computational psychotherapy system mental health prediction behavior change conversational agent,https://www.tandfonline.com/doi/abs/10.2147/NDT.S417695,2024,citation effective technological vessel persuasion intelligent conversational agent also known chatbot intelligent cognitive assistant intelligent conversational
exploring use voicebased conversational agent empower adolescent autism spectrum disorder,https://dl.acm.org/doi/abs/10.1145/3411764.3445116,2021,voicebased conversational agent vca type intelligent personal agent forecasting voicebased conversational interface vcas increasingly
conversational agent argumentdriven eparticipation,https://dl.acm.org/doi/abs/10.1145/3543434.3543447,2022,conversational agent chatbots new form citizentogovernment communication specifically present evaluate novel chatbot proposed chatbot capable
development rehabot—a conversational agent promoting rewarding activity user traumatic brain injury,https://journals.lww.com/headtraumarehab/fulltext/2022/05000/Development_of_RehaBot_A_Conversational_Agent_for.4.aspx,2022,article report development rehabot—a conversational agent designed textbased conversational interface accessible via smartphone favored
